"province","area","language_pair_collapsed","percent_bilingual_children_age_0_to_4","percent_bilingual_children_age_5_to_9","percent_bilingual_children_age_0_to_9","percent_all_children_age_0_to_4","percent_all_children_age_5_to_9","percent_all_children_age_0_to_9"
"Nova Scotia","Halifax","English & French",34.8,50.6,45,2.9,7.7,5.3
"Nova Scotia","Halifax","Arabic & English",26.1,9.4,15.3,2.2,1.4,1.8
"Nova Scotia","Halifax","English & Other",32.6,35.3,34.4,2.7,5.4,4
"Nova Scotia","Halifax","French & Other",6.5,4.7,5.3,0.5,0.7,0.6
"New Brunswick","Moncton – Saint John","English & French",82.5,75.4,78,9.5,12.6,11.2
"New Brunswick","Moncton – Saint John","English & Other",17.5,20.3,19.3,2,3.4,2.8
"New Brunswick","Moncton – Saint John","French & Other",NA,4.3,2.8,NA,0.7,0.4
"Quebec","Gatineau","English & French",61.8,64.1,63.2,12.8,18.2,15.6
"Quebec","Gatineau","French & Spanish",7.3,4.7,5.7,1.5,1.3,1.4
"Quebec","Gatineau","French & Other",21.8,23.5,22.9,4.5,6.7,5.7
"Quebec","Gatineau","English & Other",9.1,7.6,8.2,1.9,2.2,2
"Quebec","Montréal","English & French",34.7,36.3,35.6,10.3,13.3,11.9
"Quebec","Montréal","Arabic & French",11,10.5,10.7,3.3,3.9,3.6
"Quebec","Montréal","French & Spanish",5.1,4.6,4.9,1.5,1.7,1.6
"Quebec","Montréal","French & Other",27.6,29.6,28.7,8.2,10.9,9.6
"Quebec","Montréal","English & Other",21,18.8,19.7,6.2,6.9,6.6
"Quebec","Montréal","Other & Other",0.6,0.2,0.4,0.2,0.1,0.1
"Quebec","Québec","English & French",42.9,51.9,47.3,4.1,4.8,4.5
"Quebec","Québec","French & Other",53.6,45.4,49.5,5.2,4.2,4.7
"Quebec","Québec","English & Other",2.7,1.9,2.3,0.3,0.2,0.2
"Quebec","Québec","Other & Other",0.9,0.9,0.9,0.1,0.1,0.1
"Quebec","Sherbrooke – Trois-Rivières","English & French",55.6,66,61.1,5.2,6.2,5.7
